"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2872","TS7-01/02 · assistant answers a bundled fact","firefox","2026-09-11","passed","2026-09-11","NationsData · Smoke @smoke","smoke.spec.ts","",""
"","3028","TS7-17 · assistant returns the exact fallback for gibberish","webkit","2026-09-11","passed","2026-09-11","NationsData · Smoke @smoke","smoke.spec.ts","",""
"","9439","TS1-12 · footer names data sources and copyright","mobile","2026-09-11","passed","2026-09-11","NationsData · Smoke @smoke","smoke.spec.ts","",""
"","3052","TS5-01/02 · country page shows identity and core facts","chromium","2026-09-11","passed","2026-09-11","NationsData · Smoke @smoke","smoke.spec.ts","",""
"","4647","TS1-04 · continent card navigates to continent page","webkit","2026-09-11","passed","2026-09-11","NationsData · Smoke @smoke","smoke.spec.ts","",""
"","15907","TS9-01 · home has the correct document title","webkit","2026-09-11","passed","2026-09-11","NationsData · Smoke @smoke","smoke.spec.ts","",""
"","2992","TS4-01/05 · continent grid renders and filters","firefox","2026-09-11","passed","2026-09-11","NationsData · Smoke @smoke","smoke.spec.ts","",""
"","7482","TS5-05/08 · country lists cities that link to the streets map","mobile","2026-09-11","passed","2026-09-11","NationsData · Smoke @smoke","smoke.spec.ts","",""
"","3660","TS9-01 · home has the correct document title","firefox","2026-09-11","passed","2026-09-11","NationsData · Smoke @smoke","smoke.spec.ts","",""
"","2728","TS1-04 · continent card navigates to continent page","chromium","2026-09-11","passed","2026-09-11","NationsData · Smoke @smoke","smoke.spec.ts","",""
"","172","TS9-02 · country identity is server-rendered (SEO)","mobile","2026-09-11","passed","2026-09-11","NationsData · Smoke @smoke","smoke.spec.ts","",""
"","8139","TS5-01/02 · country page shows identity and core facts","mobile","2026-09-11","passed","2026-09-11","NationsData · Smoke @smoke","smoke.spec.ts","",""
"","2118","TS4-10 · unknown continent shows a graceful state","firefox","2026-09-11","passed","2026-09-11","NationsData · Smoke @smoke","smoke.spec.ts","",""
"","6966","TS5-01/02 · country page shows identity and core facts","webkit","2026-09-11","passed","2026-09-11","NationsData · Smoke @smoke","smoke.spec.ts","",""
